issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,red_ball_6,blue_ball_1,sales_amount,jackpot_amount
23140,123,3,4,11,14,30,31,5,7033098,
23139,133,12,14,19,21,27,31,11,9460351,
23138,78,3,22,28,30,31,33,4,10000000,
23137,213,3,12,17,19,23,27,11,8591449,
23136,240,3,5,10,21,22,26,10,6073140,
23135,221,5,6,11,13,28,30,7,5669924,
23134,232,5,8,9,17,22,33,4,5894533,
23133,306,4,5,10,14,22,25,3,6512569,
23132,339,3,9,11,15,25,27,1,6034708,
23131,140,6,7,14,20,26,32,1,9257052,
23130,261,4,10,17,22,23,32,16,10000000,
23129,132,8,9,12,17,32,33,4,9879535,
23128,178,7,16,20,21,27,33,1,7837587,
23127,253,3,8,19,22,26,32,14,6891253,
23126,140,10,24,26,28,29,31,16,8438994,
23125,104,11,14,15,27,30,33,4,10000000,
23124,207,2,3,17,18,25,30,11,7192295,
23123,146,10,13,15,22,29,32,15,6724880,
23122,104,7,8,14,18,20,30,5,6889762,
23121,105,2,12,16,25,30,31,12,7805455,
23120,262,3,8,13,24,27,29,8,6057696,
23119,76,1,2,3,19,21,28,15,10000000,
23118,400,1,2,11,19,25,29,4,7221722,
23117,114,2,11,14,17,18,28,8,6198467,
23116,238,2,8,9,13,24,27,12,6501260,
23115,123,2,7,16,21,26,27,16,6684992,
23114,157,7,9,15,16,17,26,9,6717188,
23113,101,1,2,13,18,25,27,3,7108275,
23112,176,9,12,13,22,24,31,4,6599921,
23111,121,5,6,12,17,20,33,9,10000000,
23110,70,2,6,20,25,29,33,16,8972251,
23109,221,6,8,10,13,16,28,13,10000000,
23108,109,1,3,6,8,18,24,9,6002668,
23107,194,3,7,18,25,29,33,14,7890900,
23106,140,7,9,10,20,22,24,7,8594088,
23105,77,1,3,5,26,30,32,16,10000000,
23104,76,10,19,23,25,30,31,12,10000000,
23103,103,5,6,13,24,25,29,15,10000000,
23102,98,1,9,10,13,21,28,10,6615741,
23101,164,1,5,9,15,18,26,4,10000000,
23100,243,5,6,12,15,23,25,4,5762908,
23099,82,9,11,14,19,27,33,5,6174885,
23098,266,2,10,11,14,21,27,11,6522117,
23097,225,1,9,14,19,29,30,15,6311615,
23096,125,8,11,18,26,31,32,15,7789981,
23095,342,3,8,16,17,22,26,11,5751004,
23094,62,6,10,12,14,30,31,12,6482678,
23093,55,10,21,24,25,27,32,7,10000000,
23092,98,3,12,24,25,32,33,13,8563809,
23091,69,16,20,22,26,30,32,16,7716754,
23090,97,1,2,9,26,30,31,7,9305795,
23089,122,8,13,15,27,28,31,11,5770016,
23088,98,1,14,18,26,31,33,5,6088495,
23087,158,2,9,15,17,28,33,1,7457024,
23086,185,8,9,10,22,26,32,12,6685067,
23085,97,11,18,23,24,31,33,13,8156360,
23084,99,9,13,14,17,19,27,3,9140598,
23083,141,7,10,12,16,17,30,12,7947836,
23082,144,4,18,19,24,27,30,16,6130757,
23081,53,1,11,15,16,22,31,15,8525084,
23080,66,1,2,4,9,25,31,8,7025698,
23079,219,5,6,9,12,21,22,7,5140313,
23078,134,6,8,14,19,30,31,8,5429023,
23077,232,7,9,14,22,26,27,1,7356811,
23076,92,3,4,15,18,19,22,9,7228807,
23075,107,13,15,24,28,30,31,1,6942068,
23074,228,2,8,9,18,19,21,3,9084632,
23073,64,1,3,15,16,25,32,10,8830568,
23072,197,2,6,10,24,25,33,9,6644229,
