issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,blue_ball_1,blue_ball_2,sales_amount,jackpot_amount
24111,"32,920",3,9,19,27,30,7,11,249,966755238
24110,"53,245",1,7,8,18,28,4,12,191,1060908946
24109,"144,071",12,23,26,27,28,3,11,96,1040316852
24108,"391,432",16,17,21,31,34,3,8,37,1012698648
24107,"106,428",6,14,16,18,34,3,10,135,1030077351
24106,"71,734",5,11,19,22,29,2,12,160,1014306627
24105,"217,870",14,20,21,28,32,9,11,70,1064900749
24104,"128,495",1,4,9,13,17,6,9,105,1026470045
24103,"183,185",19,21,29,32,33,6,8,76,1003149772
24102,"78,865",1,5,9,14,20,5,11,150,991319515
24101,"240,725",16,19,22,27,35,6,10,63,960205928
24100,"89,979",2,12,19,22,32,5,11,144,894146459
24099,"386,908",4,10,24,31,35,5,8,36,911074907
24098,"88,093",3,10,15,19,29,9,10,135,904522393
24097,"148,425",7,11,12,14,19,2,8,76,925914938
24096,"110,523",2,3,23,27,31,1,10,123,928765335
24095,"114,170",1,7,19,26,27,3,5,98,942654792
24094,"149,808",12,13,24,29,31,2,8,93,921004006
24093,"160,783",16,24,26,28,29,8,12,73,933160956
24092,"161,478",2,4,25,26,31,1,6,89,896954081
24091,"129,951",1,8,11,17,21,1,2,99,853175803
24090,"180,349",2,3,6,28,33,7,11,82,871435470
24089,"78,297",5,6,29,30,34,7,8,127,883749233
24088,"283,766",1,2,23,28,32,3,5,47,936027719
24087,"155,962",7,10,20,28,34,5,10,75,878620336
24086,"144,025",11,12,14,22,28,7,11,85,894351076
24085,"100,556",2,9,16,29,35,1,6,133,884649055
24084,"179,261",4,11,16,17,23,5,10,69,843256869
24083,"24,313",9,11,12,13,30,7,9,230,862133986
24082,"69,411",8,21,23,24,26,4,5,211,1063036331
24081,"175,312",14,15,25,27,34,1,10,80,1046747917
24080,"220,379",3,5,24,27,28,9,11,69,1020105408
24079,"62,028",3,8,17,18,23,6,11,158,991691071
