issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,blue_ball_1,blue_ball_2,sales_amount,jackpot_amount
19045,"91,568",1,4,16,19,33,3,12,263,5552688626
19044,"687,437",3,6,10,12,31,1,2,81,6008098541
19043,"729,171",2,6,7,12,15,6,12,68,6017894923
19042,"555,574",4,10,13,28,33,11,12,79,6274619165
19041,"689,483",12,19,20,22,28,2,6,67,6358353641
19040,"685,657",1,3,31,32,34,1,3,70,6679434767
19039,"745,698",1,12,18,26,35,6,12,68,6835874898
19038,"457,972",5,11,16,18,27,7,12,98,6935534547
19037,"54,212",6,16,26,33,35,4,8,597,6957878947
19036,"447,761",3,9,21,28,30,1,12,100,6962303972
19035,"219,952",1,3,5,7,18,8,9,185,6990724180
19034,"443,242",8,12,15,27,30,1,2,102,7043311561
19033,"1,340,977",1,2,4,16,24,7,9,35,7046359233
19032,"490,476",1,4,7,11,30,7,8,86,7075490420
19031,"97,104",3,8,21,26,33,4,5,364,7087941067
19030,"924,270",7,9,13,14,33,2,4,68,7130547449
19029,"868,859",1,4,18,24,28,2,3,67,7130547449
19028,"1,146,099",6,22,28,29,33,2,7,59,7126442764
19027,"506,436",16,18,24,25,27,2,7,89,7126442764
19026,"296,197",10,12,15,17,19,2,3,125,7119844630
19025,"342,578",6,13,16,19,29,3,7,103,7214723367
19024,"414,991",11,17,19,29,33,8,9,79,7212374715
19023,"1,244,119",1,3,14,26,30,6,11,36,7266412331
19022,"690,336",1,4,14,15,21,1,5,67,7260411038
19021,"431,389",7,13,17,24,33,1,10,86,7281471244
19020,"56,048",1,8,16,27,34,3,12,633,7305795077
19019,"334,715",4,11,19,25,32,1,2,118,7344326745
19018,"125,429",3,18,19,26,34,6,12,84,7368392285
19017,"111,800",1,5,7,22,25,3,4,89,7345788306
19016,"285,331",3,5,13,16,28,2,6,38,7335987177
19015,"179,336",2,5,10,13,30,4,6,57,7318529721
19014,"85,181",12,14,20,28,31,9,11,113,7281902287
19013,"94,273",8,10,15,17,18,1,8,80,7261573924
19012,"38,914",5,9,17,18,19,7,10,144,7270412609
19011,"143,243",4,12,13,16,17,4,9,66,7282068516
19010,"249,760",3,7,24,25,27,2,12,42,7255514505
19009,"81,098",3,9,15,18,26,6,12,106,7221191570
19008,"152,933",3,8,17,20,24,6,11,71,7175235779
19007,"147,545",3,12,16,29,32,1,5,74,7231975347
19006,"73,858",14,17,19,25,30,4,8,89,7179104849
19005,"56,877",21,26,27,29,34,5,6,159,7179285216
19004,"48,698",15,16,17,31,32,3,9,156,7161063055
19003,"208,522",4,8,18,20,32,10,12,47,7201268804
19002,"73,021",2,7,14,22,31,1,7,128,7151049695
19001,"198,774",6,18,23,26,28,3,12,52,7142421311
18154,"203,203",14,22,23,26,30,3,5,45,7118917925
18153,"129,621",3,6,7,8,21,1,8,81,7088689110
18152,"165,467",2,4,5,12,28,8,11,54,7064136608
18151,"84,762",4,8,18,29,30,3,7,103,7018219322
18150,"222,053",5,12,13,31,34,10,12,56,7002968220
18149,"118,605",1,7,10,11,20,3,6,73,6956714763
18148,"74,522",2,6,24,33,34,2,3,154,6967866677
18147,"303,491",1,11,26,33,35,2,10,38,6972210324
18146,"168,531",3,8,9,13,33,1,2,59,6915052805
18145,"155,126",9,18,29,31,33,6,11,62,6863931453
18144,"49,772",6,17,18,24,31,7,11,167,6852100778
18143,"311,374",4,7,20,22,33,1,2,34,6875246343
18142,"149,099",19,24,28,29,34,10,11,62,6821793738
18141,"115,479",3,7,23,26,33,4,9,86,6821675414
18140,"236,579",1,6,8,12,15,3,4,43,6827035600
18139,"146,124",5,11,16,28,35,6,9,57,6818142501
18138,"240,097",1,23,24,28,33,4,5,45,6820616434
18137,"88,777",7,10,22,23,33,8,11,103,6774793860
18136,"92,040",3,11,12,19,21,5,11,89,6745147509
18135,"370,365",14,19,23,27,34,6,12,32,6728041749
18134,"270,324",4,5,19,31,35,2,12,39,6685696823
18133,"208,470",8,12,14,15,19,1,10,52,6657631974
18132,"202,991",3,16,22,23,27,1,4,56,6678376013
18131,"225,327",12,14,21,32,33,2,11,49,6635339455
18130,"209,777",3,4,16,18,25,1,11,50,6590885413
18129,"76,600",4,7,21,22,29,3,6,112,6576364115
18128,"188,100",11,12,14,16,26,8,9,54,6594664860
18127,"137,148",1,3,4,11,29,8,12,75,6564347966
18126,"132,076",11,13,15,21,27,5,6,82,6554917405
18125,"123,236",7,16,20,21,34,4,6,80,6522197027
18124,"50,320",8,10,12,19,20,10,11,156,6524154322
18123,"109,271",6,9,29,32,35,2,4,91,6522610651
18122,"78,493",8,9,21,30,31,5,12,116,6530054426
18121,"105,372",6,7,21,29,30,1,10,91,6520734499
18120,"67,950",21,22,25,27,30,8,9,148,6502829135
18119,"157,655",6,9,11,16,35,2,5,56,6481977558
18118,"156,425",4,5,14,21,34,6,9,43,6485845808
18117,"66,007",7,11,13,22,29,3,8,104,6498990134
18116,"168,431",1,14,17,21,33,7,10,48,6524536540
18115,"63,538",2,6,13,18,25,1,2,118,6535370887
18114,"121,614",12,18,26,28,29,5,6,77,6552450316
18113,"132,991",8,12,27,31,33,4,8,68,6557535636
18112,"76,560",3,7,8,9,29,9,10,88,6521875291
18111,"212,799",3,16,27,28,32,4,5,48,6520081923
18110,"56,279",6,19,21,27,28,3,11,136,6499010024
18109,"234,571",10,16,23,25,34,2,5,37,6515974853
18108,"257,386",9,10,24,31,32,7,12,40,6512454344
18107,"102,992",7,8,9,10,22,3,4,84,6469261221
18106,"107,492",4,14,17,24,31,1,4,84,6472172226
18105,"170,599",1,16,19,20,31,2,7,62,6452487726
18104,"253,224",1,13,14,26,28,7,11,40,6430739174
18103,"311,015",14,24,26,28,35,2,3,31,6391571458
18102,"145,812",6,7,13,22,24,10,12,71,6342068179
18101,"31,199",3,14,15,23,29,4,5,213,6308725026
18100,"179,521",6,20,21,26,30,6,9,42,6342598373
18099,"344,348",12,13,16,20,21,1,7,33,6343983973
18098,"145,237",2,15,18,25,27,5,7,54,6340719923
18097,"407,484",10,12,14,18,23,1,4,26,6344726748
18096,"137,285",13,14,20,28,34,6,10,67,6319451570
18095,"33,847",7,14,18,29,35,5,12,169,6304083968
18094,"250,003",11,16,25,30,34,8,10,40,6342519469
18093,"133,969",3,11,16,18,33,3,11,71,6289602123
18092,"138,724",5,7,14,18,19,4,10,61,6271921898
18091,"200,300",6,22,26,28,31,1,7,50,6239379715
18090,"222,618",6,20,24,33,34,4,11,38,6215638458
18089,"43,376",26,27,28,32,34,6,10,188,6185259533
18088,"209,895",8,9,21,25,33,1,8,47,6175967288
18087,"185,287",3,14,19,23,25,1,4,60,6170422461
18086,"359,527",16,22,24,29,31,4,5,26,6147152397
18085,"203,649",1,2,14,25,31,5,7,48,6119215421
18084,"170,820",6,11,17,22,35,11,12,60,6114274675
18083,"186,650",7,12,25,27,28,10,11,57,6060893274
18082,"202,544",1,2,14,17,18,8,10,49,6046964394
18081,"153,574",2,10,13,21,35,1,12,74,5995484438
18080,"79,192",7,16,24,26,31,10,11,100,5956453500
18079,"53,079",3,4,10,27,29,1,5,150,5968985976
18078,"80,657",7,11,12,22,30,3,6,101,5999253266
18077,"122,792",1,6,9,15,26,8,9,69,5981630962
18076,"55,940",7,18,28,29,32,6,8,127,5950663010
18075,"165,012",1,6,12,20,34,4,12,80,5958857007
18074,"68,364",3,9,12,28,30,4,12,117,5909727592
18073,"67,694",13,19,24,25,29,2,8,118,5972044398
18072,"166,210",5,12,17,24,26,1,2,61,5981278505
18071,"266,396",2,5,23,30,31,3,9,33,5949658808
18070,"166,567",2,5,10,16,30,4,7,52,5919039404
18069,"304,461",1,8,13,21,24,2,11,35,5885037873
18068,"105,371",8,12,16,26,33,5,6,72,5874936454
18067,"139,612",3,7,12,18,31,7,10,67,5854895390
18066,"203,548",1,20,23,32,33,1,4,57,5813704069
18065,"75,369",7,10,28,31,32,8,10,119,5772639586
18064,"160,419",1,3,4,11,29,2,4,65,5761282472
18063,"109,249",5,14,15,32,34,3,10,83,5705403010
18062,"196,831",12,14,19,23,35,2,7,54,5703821164
18061,"171,242",4,10,12,28,31,8,11,56,5653787525
18060,"226,490",4,22,27,29,31,2,10,55,5654020895
18059,"165,915",1,9,10,27,35,6,11,64,5611696366
18058,"68,635",9,11,12,26,32,4,10,117,5563764270
18057,"101,615",13,19,22,27,28,5,6,105,5533435106
18056,"160,241",2,4,16,28,34,5,7,66,5556714938
18055,"125,126",3,7,20,33,34,9,10,78,5505823357
18054,"91,172",9,10,12,20,30,1,7,122,5465203784
18053,"252,575",11,16,21,23,25,2,12,49,5515804329
18052,"103,357",5,16,18,19,25,2,7,95,5447819442
18051,"130,027",9,18,28,29,35,3,11,79,5447396941
18050,"225,430",22,24,26,34,35,6,12,52,5422293094
18049,"147,438",4,7,9,10,13,6,12,63,5368233194
18048,"204,437",2,3,11,20,25,2,7,56,5318104005
18047,"183,363",3,8,10,14,20,4,8,62,5293491487
18046,"196,032",10,20,22,29,32,5,10,55,5268370217
18045,"171,739",2,5,20,30,35,5,9,71,5283900535
18044,"86,924",2,4,6,18,21,5,8,111,5268779121
18043,"113,999",3,6,13,28,33,4,11,73,5239147674
18042,"65,084",3,19,25,29,35,5,9,122,5327068941
18041,"213,838",1,23,25,31,33,1,12,57,5445163138
18040,"70,652",5,7,18,27,31,1,8,122,5411665761
18039,"109,752",2,7,14,29,32,10,11,84,5364269644
18038,"263,418",14,23,25,31,32,1,3,39,5339234513
18037,"183,389",1,3,27,30,31,2,11,52,5323867872
18036,"207,387",11,17,18,21,27,7,8,54,5297754793
18035,"129,707",5,7,10,12,24,7,11,73,5244871082
18034,"78,334",8,11,22,27,32,3,7,110,5196338763
18033,"65,866",2,3,19,23,34,4,9,113,5198381632
18032,"161,202",7,10,17,32,35,5,12,59,5225006750
18031,"115,734",3,8,13,17,23,5,11,83,5184093714
18030,"68,015",5,18,21,28,32,9,11,130,5152546013
18029,"112,385",3,9,21,25,29,1,8,81,5134052855
18028,"175,366",4,19,25,30,35,4,7,60,5125941530
18027,"257,805",1,18,20,21,26,4,11,39,5085962016
18026,"82,611",1,2,3,4,30,3,5,108,5074912532
18025,"203,072",7,8,9,15,34,7,8,46,5047617317
18024,"383,935",2,16,24,30,32,4,7,29,5038602897
18023,"110,789",12,13,18,21,29,2,8,72,5016451627
18022,"223,044",2,10,19,33,35,5,6,43,4988506161
18021,"101,227",5,6,8,9,15,4,11,84,4941852651
18020,"251,143",1,10,13,14,21,9,12,45,4908324787
18019,"250,933",10,11,19,21,28,5,12,42,4865933980
18018,"176,906",6,8,13,24,28,6,12,63,4824492674
18017,"262,613",4,19,21,23,31,4,9,37,4771863108
18016,"108,508",1,2,12,13,23,9,12,81,4766514256
18015,"155,659",4,13,15,18,29,5,11,59,4753653322
18014,"188,566",14,16,18,24,31,1,8,53,4726825681
18013,"245,948",8,24,31,33,35,7,10,43,4684812702
18012,"92,558",3,22,24,29,34,7,11,109,4635213010
18011,"309,639",3,13,15,23,26,1,10,37,4641173456
18010,"136,700",24,25,26,28,29,4,12,74,4588018755
18009,"338,952",10,12,28,30,34,3,4,38,4570009063
18008,"225,457",9,15,17,20,22,10,11,47,4509562520
18007,"263,162",3,4,28,31,34,4,11,41,4504102672
18006,"79,115",19,20,30,32,33,3,5,121,4483250787
18005,"48,824",4,9,23,24,30,8,11,174,4435847449
18004,"186,520",4,9,22,28,30,1,10,56,4445675467
18003,"172,793",4,21,23,24,30,9,10,60,4440647604
18002,"108,436",12,20,23,27,34,1,6,77,4443585959
18001,"249,848",1,13,22,25,35,3,4,47,4479674483
17153,"162,593",1,9,24,26,34,9,12,70,4478126302
17152,"102,532",2,4,7,23,28,2,8,89,4466541182
17151,"198,440",5,6,23,28,32,4,5,52,4464946961
17150,"282,679",3,6,10,13,18,9,11,41,4457502260
17149,"102,805",10,18,19,25,26,4,12,102,4407904079
17148,"151,203",19,27,31,32,35,11,12,60,4364959468
17147,"151,991",5,16,17,25,34,1,11,73,4367250718
17146,"90,710",1,5,11,14,35,9,10,99,4318480826
17145,"72,192",4,7,17,18,19,3,10,114,4317224774
17144,"161,804",3,21,23,29,32,10,11,76,4309699345
17143,"147,020",6,9,24,29,32,2,7,66,4282393686
17142,"174,921",1,5,16,19,28,2,10,55,4275347171
17141,"150,239",2,8,21,22,29,3,5,69,4237389514
17140,"185,752",10,16,25,26,29,1,5,51,4219678773
17139,"91,355",2,6,19,25,32,9,12,85,4210596967
17138,"144,104",4,7,9,20,25,2,11,69,4195563190
17137,"297,765",1,20,22,28,29,5,7,32,4236731015
17136,"103,245",1,11,20,21,22,3,4,96,4314495402
17135,"207,123",1,12,15,19,22,2,4,59,4403766719
17134,"105,156",7,18,19,32,34,2,10,91,4384046233
17133,"199,420",15,17,19,32,33,1,3,53,4363865130
17132,"187,527",11,17,23,26,27,1,10,67,4276365066
17131,"131,810",3,5,8,19,34,1,12,68,4276365066
17130,"177,998",5,18,28,33,34,3,4,56,4269462536
17129,"74,828",5,17,20,32,33,4,9,95,4234584571
17128,"237,346",9,11,13,18,33,2,3,47,4236702290
17127,"81,089",2,15,18,21,22,3,10,87,4224508242
17126,"176,696",3,4,13,24,33,1,11,71,4291619493
17125,"21,874",7,11,18,26,28,4,5,255,4275162353
17124,"179,827",3,29,30,32,35,3,8,48,4351880934
17123,"180,135",3,15,23,26,32,1,12,67,4318722376
17122,"137,357",3,12,18,29,34,3,11,72,4284527224
17121,"149,524",1,6,12,26,31,1,7,59,4271765199
17120,"63,449",8,15,24,26,27,5,6,107,4223045066
17119,"216,912",5,7,13,29,35,3,8,43,4247472952
17118,"166,932",2,7,16,20,33,3,11,57,4252457951
17117,"220,578",5,7,9,24,32,8,10,40,4307581838
17116,"242,412",2,27,30,32,33,1,3,36,4309435912
17115,"38,436",14,19,20,25,31,6,8,172,4288831779
17114,"207,498",6,7,12,18,23,1,12,55,4288325250
17113,"73,142",5,8,17,18,23,4,12,117,4238842403
17112,"105,157",5,6,20,31,32,6,12,88,4270236000
17111,"251,070",2,14,17,26,34,8,12,43,4289815824
17110,"154,052",10,14,20,21,35,2,5,59,4252044900
17109,"76,612",6,9,19,26,34,5,7,95,4242085788
17108,"219,374",1,4,15,21,22,4,9,49,4268598636
17107,"91,858",4,10,19,25,27,6,12,89,4256486299
17106,"130,216",9,12,18,23,29,2,4,76,4239006391
17105,"268,351",4,15,22,24,32,2,9,42,4224981560
17104,"36,073",9,11,22,27,30,9,11,192,4191982211
17103,"173,350",4,19,20,24,29,3,4,53,4188619608
17102,"213,587",1,12,23,24,29,8,12,55,4163837399
17101,"31,641",5,15,21,25,29,5,8,164,4125812710
17100,"119,712",2,5,18,19,31,1,9,71,4228046475
17099,"184,138",8,9,17,18,24,3,7,53,4185748073
17098,"113,754",6,9,17,30,35,10,11,68,4147258197
17097,"125,007",7,14,19,22,34,7,12,76,4126211909
17096,"107,135",3,7,9,17,28,4,12,95,4090375935
17095,"15,000",15,32,33,34,35,3,12,942,4049665155
17094,"79,496",3,5,8,29,33,4,8,97,4085529699
17093,"145,415",5,6,17,21,29,2,4,74,4092641538
17092,"163,459",3,7,9,17,34,4,5,47,4088257898
17091,"153,078",1,5,7,16,19,3,12,61,4051343402
17090,"223,443",3,6,15,22,35,9,11,48,4007843515
17089,"63,221",3,5,6,15,18,3,10,117,3963658497
17088,"175,572",5,28,31,34,35,8,9,55,3970858480
17087,"162,144",3,14,21,29,35,2,6,66,3955355946
17086,"98,697",12,15,18,22,31,1,8,86,3912253586
17085,"38,310",9,13,14,25,30,2,5,237,3965099359
17084,"233,159",6,11,14,21,31,9,12,46,3995626666
17083,"135,916",2,5,14,22,34,3,9,67,3942194219
17082,"193,952",5,13,20,21,25,8,9,42,3905756159
17081,"230,358",2,12,15,20,34,1,6,46,3886662218
17080,"72,884",8,10,21,30,31,2,5,102,3863295763
17079,"83,791",1,17,19,32,33,2,11,101,3858398294
17078,"159,068",4,5,27,31,34,3,6,67,3885958972
17077,"157,657",1,3,4,25,31,6,9,54,3854394416
17076,"224,809",2,7,25,30,35,7,12,41,3809067958
17075,"219,558",5,11,16,18,35,1,6,45,3798166893
17074,"159,161",8,10,11,13,17,8,11,59,3790728402
17073,"238,884",7,18,28,31,33,1,2,43,3744836916
17072,"346,418",1,3,29,32,34,2,5,33,3724273122
17071,"136,845",1,4,11,14,33,5,7,70,3673649899
17070,"136,834",6,16,18,26,30,2,3,69,3663920573
17069,"151,488",10,16,20,23,32,8,11,66,3655686532
17068,"64,040",7,8,19,24,27,6,7,113,3622286671
17067,"66,107",10,17,18,32,35,10,11,134,3602210395
17066,"140,834",11,15,23,26,30,2,11,77,3583202521
17065,"106,135",5,11,12,19,28,5,12,82,3572736762
17064,"116,875",1,8,20,27,30,3,4,78,3591742938
17063,"24,867",18,21,22,24,29,5,11,281,3561778733
17062,"191,426",1,4,6,8,28,8,12,57,3602783336
17061,"65,013",10,19,23,25,30,2,4,116,3568226863
17060,"35,879",9,15,20,26,31,5,12,187,3538189538
17059,"85,050",8,11,13,15,17,3,10,116,3607004261
17058,"75,857",14,18,20,21,28,3,6,107,3565690703
17057,"178,244",12,16,19,23,24,2,5,60,3589910730
17056,"193,013",1,4,24,27,32,3,10,51,3623470204
17055,"107,343",19,20,22,30,33,3,9,87,3614943787
17054,"146,223",16,29,30,32,33,4,5,67,3591834048
17053,"127,008",6,19,20,22,26,1,11,76,3625148136
17052,"81,082",3,19,24,28,33,4,12,93,3631157292
17051,"124,003",14,17,18,22,29,10,11,81,3636318978
17050,"200,246",12,14,17,20,28,2,6,47,3589897237
17049,"74,686",9,12,14,22,31,5,8,86,3606049646
17048,"80,226",7,9,13,15,19,3,10,112,3661625450
17047,"142,515",15,19,32,33,34,9,12,61,3664460457
17046,"71,833",4,17,20,23,30,2,3,116,3769992914
17045,"198,950",1,8,11,21,35,9,12,58,3791214185
17044,"142,780",11,16,17,18,25,2,9,66,3753218411
17043,"220,005",6,13,22,25,35,9,12,39,3726032789
17042,"110,653",2,17,31,33,34,1,7,74,3699831558
17041,"288,506",2,4,6,25,31,5,9,34,3696768216
17040,"68,767",4,6,10,23,29,9,11,112,3682847590
17039,"42,579",5,6,14,17,26,3,8,182,3696565737
17038,"120,249",4,5,13,18,27,3,9,63,3670337332
17037,"49,161",13,15,16,32,34,6,11,172,3676610111
17036,"146,181",1,4,9,18,33,2,5,67,3638673625
17035,"49,967",14,17,22,30,33,7,12,143,3606190192
17034,"147,755",6,12,21,26,29,2,11,58,3657628827
17033,"119,443",15,22,23,25,34,5,11,75,3638317243
17032,"243,657",2,13,14,18,29,3,9,33,3612033002
17031,"93,890",2,16,17,30,32,2,9,77,3582956408
17030,"104,627",21,22,24,29,34,5,6,83,3590538407
17029,"163,414",1,6,14,17,29,1,11,59,3541799422
17028,"107,131",6,18,22,23,33,9,11,75,3490596212
17027,"66,308",8,17,25,33,34,3,11,124,3480957577
17026,"262,153",10,14,19,25,32,2,7,34,3483244837
17025,"160,881",10,16,19,20,34,4,5,49,3479144224
17024,"131,828",21,23,29,32,35,11,12,73,3471058022
17023,"72,605",5,8,12,24,34,7,10,97,3455027875
17022,"250,053",2,3,9,17,24,6,12,39,3427151759
17021,"92,353",1,15,17,20,26,6,8,89,3379016481
17020,"54,136",16,21,24,27,28,4,7,117,3350612688
17019,"145,860",2,6,14,23,25,2,10,57,3371542925
17018,"173,164",6,7,10,17,23,1,9,52,3418876151
17017,"124,952",4,19,24,26,29,4,6,70,3392699037
17016,"97,252",3,13,28,30,33,9,10,84,3382818218
17015,"112,410",1,7,19,27,34,1,2,83,3373917243
17014,"119,082",4,8,15,24,25,2,5,68,3358297383
17013,"191,627",5,12,17,30,34,11,12,43,3335198533
17012,"188,622",4,5,24,26,35,7,12,48,3309200241
17011,"140,980",5,15,21,29,34,6,9,57,3296873997
17010,"225,866",4,10,13,18,35,1,2,42,3305544582
17009,"123,464",5,6,8,12,22,3,4,76,3334512408
17008,"183,841",3,4,9,25,32,2,4,48,3299550616
17007,"163,945",8,11,17,25,27,2,4,54,3283292218
17006,"63,619",4,6,23,32,33,5,6,127,3269026898
17005,"124,767",5,9,20,26,35,2,11,72,3313392877
17004,"73,849",5,8,11,28,31,6,7,97,3269100289
17003,"211,393",3,5,6,13,22,9,12,46,3270524644
17002,"94,533",7,12,14,31,34,9,11,112,3252308112
17001,"81,529",7,9,20,31,33,8,10,89,3214884037
16154,"101,048",6,16,17,21,29,4,6,92,3235556086
16153,"160,380",13,18,25,29,35,3,11,59,3271932474
16152,"93,852",8,17,22,24,30,5,11,97,3224085510
16151,"89,308",4,7,11,14,21,5,12,101,3219661079
16150,"15,000",1,10,18,24,29,7,10,2251,3229738187
16149,"73,600",1,2,3,12,33,4,9,96,3816313703
16148,"136,062",5,14,15,23,25,6,8,70,3806985330
16147,"15,000",7,19,20,28,30,4,12,413,3791177687
16146,"182,464",21,22,25,29,34,1,11,56,3915756735
16145,"24,515",1,9,11,17,28,3,8,224,3913126519
16144,"113,410",4,5,13,22,31,5,10,75,3914443711
16143,"145,073",4,6,22,27,31,6,7,59,3904182884
16142,"206,031",1,6,17,23,26,6,12,51,3899078595
16141,"105,391",2,6,7,19,28,11,12,91,3857570669
16140,"79,106",12,16,23,29,34,4,11,121,3845393921
16139,"225,438",13,21,30,31,35,1,8,42,3864958511
16138,"226,343",12,13,16,29,35,5,11,39,3826489200
16137,"119,261",7,20,23,29,34,2,10,63,3807220445
16136,"15,144",5,6,7,19,23,4,11,425,3791740200
16135,"185,221",1,10,12,18,35,1,12,59,3770081323
16134,"163,435",1,3,31,32,34,2,7,53,3741306383
16133,"238,903",1,4,5,23,28,5,9,38,3724999633
16132,"243,586",4,18,19,22,35,1,2,38,3726472243
16131,"73,205",6,13,25,28,30,2,7,89,3705987913
16130,"147,130",11,23,32,33,34,1,12,64,3722891036
16129,"86,455",7,8,19,30,35,8,9,91,3745975912
16128,"86,762",17,20,22,30,33,7,8,87,3742471490
16127,"368,223",1,5,15,24,26,9,10,28,3747064984
16126,"171,203",11,13,16,19,24,6,8,47,3727343868
16125,"105,159",6,7,8,28,30,1,2,76,3727254222
16124,"233,216",4,13,24,26,29,8,11,36,3693174707
16123,"139,892",4,5,13,20,32,1,10,74,3651778795
16122,"229,813",1,3,12,14,29,2,6,39,3603748957
16121,"128,067",4,5,8,15,20,1,6,67,3559509834
16120,"170,108",3,10,20,32,34,4,7,45,3565337019
16119,"87,730",2,3,9,21,22,5,10,98,3569855994
16118,"65,868",12,15,18,24,29,3,11,123,3571935089
16117,"200,413",3,9,14,16,23,2,9,36,3557096623
16116,"357,126",4,6,8,19,34,10,12,22,3566017216
16115,"229,239",1,4,15,31,34,2,11,43,3547923720
16114,"240,465",16,17,20,32,33,3,7,32,3502839878
16113,"149,794",10,11,17,30,34,3,12,56,3515191923
16112,"130,955",7,22,23,31,32,4,5,64,3502750201
16111,"86,588",4,9,22,26,27,2,12,92,3467679525
16110,"92,985",7,20,21,23,30,7,10,72,3442910758
16109,"198,739",3,25,28,31,34,11,12,50,3466514047
16108,"50,797",10,17,22,23,25,7,9,104,3437657318
16107,"175,322",2,6,19,24,26,4,6,44,3462561196
16106,"52,781",3,21,30,33,35,1,4,139,3493879603
16105,"173,380",8,11,31,34,35,1,2,55,3509923337
16104,"196,336",1,20,22,23,30,6,7,46,3475855899
16103,"107,797",5,14,20,23,29,3,11,76,3461843842
16102,"155,538",3,5,6,34,35,3,12,55,3449353717
16101,"379,420",4,6,28,33,35,7,12,24,3405154941
16100,"67,260",8,12,19,26,30,2,12,145,3372470173
16099,"229,363",3,4,12,14,27,1,5,41,3337125371
16098,"56,705",8,9,11,20,29,4,5,101,3309928561
16097,"182,570",6,8,18,31,33,10,12,55,3318516210
16096,"123,759",1,6,8,12,21,5,10,63,3279830818
16095,"71,663",8,12,18,19,21,3,6,93,3296613494
16094,"180,781",1,14,16,17,18,5,7,47,3293149626
16093,"68,481",1,8,14,30,35,6,7,104,3305502727
16092,"172,219",2,13,31,33,34,7,11,44,3311199962
16091,"193,067",8,13,17,21,22,2,8,43,3290154296
16090,"228,071",4,6,8,28,32,7,12,40,3277357768
16089,"143,575",7,14,17,28,34,7,10,57,3245924700
16088,"157,378",4,6,17,21,30,6,11,52,3206441463
16087,"138,645",3,16,17,23,25,7,9,57,3178408229
16086,"163,813",3,5,22,25,30,7,9,45,3165240870
16085,"76,135",14,15,27,31,32,1,7,97,3154382762
16084,"244,199",8,12,15,26,35,1,8,35,3379034576
16083,"71,429",1,5,9,33,35,1,5,87,3337317109
16082,"102,289",3,8,23,28,29,2,7,76,3354316977
16081,"94,118",6,7,18,21,33,3,8,75,3364881401
16080,"133,795",15,20,29,30,33,7,12,54,3336763346
16079,"145,812",7,14,15,20,27,5,10,61,3335784172
16078,"150,604",7,18,29,31,35,5,11,48,3316339129
16077,"362,071",9,11,14,16,35,2,5,24,3290546304
16076,"173,379",3,8,10,17,31,5,6,51,3259813305
16075,"163,291",3,7,17,22,31,8,12,54,3255540118
16074,"308,116",1,5,7,11,14,3,8,29,3253621821
16073,"35,457",7,14,17,24,27,8,10,216,3212539589
16072,"196,081",16,20,24,26,31,4,9,37,3244300482
16071,"90,176",8,15,19,20,33,7,12,85,3228188881
16070,"154,856",2,9,13,19,23,5,7,57,3188361100
16069,"172,894",14,17,19,23,30,2,9,43,3168678368
16068,"105,067",5,7,22,26,34,7,12,73,3130353378
16067,"118,226",2,8,11,13,19,2,8,61,3112353931
16066,"218,229",10,28,29,31,33,5,11,46,3134209189
16065,"225,905",1,9,18,22,24,11,12,38,3110745172
16064,"118,266",1,2,10,18,35,5,11,81,3091375735
16063,"124,023",8,12,22,27,35,5,9,64,3048747028
16062,"135,737",2,10,14,15,35,1,9,68,3132059059
16061,"192,296",9,15,17,21,23,7,12,52,3093759024
16060,"400,797",2,6,22,27,34,8,11,22,3077037661
16059,"143,169",2,10,27,28,33,5,7,61,3043271917
16058,"250,353",2,15,17,23,28,5,9,41,3014713549
16057,"89,132",8,17,19,23,30,3,8,93,3009402657
16056,"99,307",10,12,14,31,35,4,5,86,3032443827
16055,"158,077",6,21,27,30,34,4,9,52,3015190001
16054,"141,766",2,5,9,21,30,6,7,58,2979083994
16053,"232,271",4,13,15,30,35,3,5,36,2944900065
16052,"52,598",8,14,19,20,33,10,11,166,2899026352
16051,"321,949",16,21,23,24,32,7,8,26,2893688412
16050,"199,431",7,17,21,29,35,4,5,41,2861932628
16049,"309,766",3,4,5,27,33,4,9,31,2815398495
16048,"15,478",4,12,17,25,27,4,10,364,2796673004
16047,"151,835",2,3,23,29,32,5,9,63,2818458597
16046,"210,082",3,19,22,32,34,8,12,51,2802250699
16045,"84,640",7,11,25,30,33,2,8,79,2751851987
16044,"220,169",1,6,10,20,31,5,11,38,2741738778
16043,"200,654",1,9,16,33,34,9,12,55,2702567559
16042,"306,819",2,6,8,19,24,1,6,34,2664544915
16041,"142,554",12,23,24,27,34,3,6,57,2665901627
16040,"98,591",20,22,29,30,35,1,6,98,2670147850
16039,"56,639",1,8,16,22,28,4,5,128,2644960121
16038,"290,425",3,7,9,15,33,5,12,28,2619796551
16037,"250,605",3,5,13,24,34,3,5,39,2591557138
16036,"111,495",7,15,26,30,31,3,6,65,2586646951
16035,"269,315",17,22,24,25,29,9,12,33,2569760622
16034,"263,586",14,18,31,32,35,9,10,38,2529363336
16033,"147,384",3,14,15,31,35,9,10,54,2511698040
16032,"161,918",5,9,14,20,33,5,12,57,2493009722
16031,"157,334",3,14,24,27,29,4,11,65,2476910786
16030,"117,400",10,19,21,29,33,4,6,66,2465972725
16029,"119,796",20,26,27,29,32,5,12,46,2479920749
16028,"212,750",13,18,20,23,31,3,6,37,2483217739
